2019,1,106
2019,2,400
2019,3,339
2019,4,389
2019,5,141
2019,6,332
2019,7,386
2019,8,307
2019,9,304
2019,10,167
2019,11,133
2019,12,151
2020,1,276
2020,2,57
2020,3,125
2020,4,27
2020,5,222
2020,6,363
2020,7,26
2020,8,162
2020,9,383
2020,10,383
2020,11,179
2020,12,386
2021,1,432
2021,2,482
2021,3,202
2021,4,115
2021,5,420
2021,6,87
2021,7,36
2021,8,489
2021,9,440
2021,10,83
2021,11,258
2021,12,281
2022,1,393
2022,2,227
2022,3,236
2022,4,453
2022,5,359
2022,6,252
2022,7,57
2022,8,473
2022,9,331
2022,10,349
2022,11,212
2022,12,131
